Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6xxXrNJnnsQNLdgNk8S4y8,"Hate To Say I Told You So","Veni Vidi Vicious","The Hives",2000,199759,59,false,skatterbrainz,2025-12-07T22:49:46Z,"garage rock","Sire/Burning Heart/Epitaph",0.451,0.929,5,-5.021,1,0.0549,0.00109,0.00785,0.442,0.378,135.767,4
spotify:track:7mDKRYiqejoHzP7dQGxLys,"212","Broke with Expensive Taste","Azealia Banks;Lazy Jay",2014-11-07,204956,69,true,skatterbrainz,2025-12-07T22:50:12Z,"ballroom vogue,hip house","Prospect Park",0.846,0.772,11,-5.735,0,0.259,0.0123,0.000106,0.0769,0.622,125.998,4
spotify:track:0j55p8YRAPG8yajtNyjt6A,"Hold You - Hold Yuh","Hold You","Gyptian",2010-07-16,234933,71,false,skatterbrainz,2025-12-07T22:50:20Z,"dancehall,reggae,soca,lovers rock,ragga","VP Records",0.69,0.62,8,-3.583,1,0.06,0.321,0.0000281,0.0889,0.497,66.859,3
spotify:track:5osSw3tL07Tuid7AWsvYcc,"Ante Up Remix (feat. Busta Rhymes, Teflon & Remi Martin) - Remix","Warriorz","M.O.P.;Busta Rhymes;Teflon;Remi Martin",2000-08-29,247693,62,true,skatterbrainz,2025-12-07T22:50:40Z,"east coast hip hop,hardcore hip hop,old school hip hop,boom bap","Epic",0.68,0.894,1,-4.86,1,0.255,0.0206,0,0.462,0.803,94.089,4
spotify:track:6GG73Jik4jUlQCkKg9JuGO,"The Middle","Bleed American","Jimmy Eat World",2001-07-17,165853,81,false,skatterbrainz,2025-12-07T22:51:15Z,"emo,pop punk","Interscope",0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,4
spotify:track:1mnqraQ8oV8MX92rdOFLWW,"1 Thing","Touch","Amerie",2005,238760,69,false,skatterbrainz,2025-12-07T22:51:34Z,"","Richcraft/Sony Urban Music/Columbia",0.612,0.961,10,-3.078,0,0.333,0.107,0.0000417,0.0413,0.867,129.873,5
spotify:track:72TFWvU3wUYdUuxejTTIzt,"Work","ANTI (Deluxe)","Rihanna;Drake",2016-01-28,219320,80,true,skatterbrainz,2025-12-07T22:51:42Z,"rap","Roc Nation / Rihanna",0.723,0.534,11,-6.238,1,0.0891,0.0747,0,0.0919,0.551,91.974,4
spotify:track:25FTMokYEbEWHEdss5JLZS,"Teenage Dirtbag","Wheatus","Wheatus",1999-02-15,241666,83,false,skatterbrainz,2025-12-07T22:53:21Z,"","Columbia",0.625,0.85,4,-3.904,1,0.0495,0.346,0.000233,0.174,0.633,94.661,4
spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA,"Drops of Jupiter (Tell Me)","Drops Of Jupiter","Train",2001-03-27,259933,82,false,skatterbrainz,2025-12-07T22:53:36Z,"soft pop","Columbia/Legacy",0.481,0.638,0,-5.862,1,0.0276,0.153,0,0.154,0.497,79.064,4
spotify:track:1BPybPVkDfUjFDvqG04l58,"Breathe (feat. Sean Paul) - Rap Version","Bittersweet","Blu Cantrell;Sean Paul",2003-06-11,228000,73,false,skatterbrainz,2025-12-07T22:54:01Z,"dancehall","Arista",0.8,0.663,2,-3.832,1,0.0324,0.048,0,0.252,0.472,91.934,4
