Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3jDdpx9PMlfMBS5tOBHFm9,"Return of the Mack","Return of the Mack","Mark Morrison",1996-04-22,213093,78,false,skatterbrainz,2025-12-07T21:41:23Z,"","WM UK",0.715,0.833,2,-5.379,1,0.108,0.00631,0,0.164,0.612,95.487,4
spotify:track:0YImOCkIJ2PWhCXaURCZnY,"I Know What You Want (feat. Flipmode Squad)","It Ain't Safe No More. . .","Busta Rhymes;Mariah Carey;Flipmode Squad",2002-11-26,324306,72,true,skatterbrainz,2025-12-07T21:41:54Z,"east coast hip hop,christmas","J Records",0.648,0.759,6,-4.315,1,0.306,0.0142,0,0.648,0.518,85.996,4
spotify:track:6NM525U7IB4Zhpn8d921uX,"Make It Clap (feat. Sean Paul & Spliff Starr) - Remix Album Version","It Ain't Safe No More. . .","Busta Rhymes;Sean Paul;Spliff Starr",2002-11-26,243040,47,true,skatterbrainz,2025-12-07T21:43:01Z,"east coast hip hop,dancehall","J Records",0.736,0.741,1,-4.458,0,0.392,0.0691,0,0.053,0.95,121.328,5
spotify:track:6dEwByRwJTnycFUlSz4ufp,"Shabba REMIX (feat. Shabba Ranks, Busta Rhymes & Migos)","Shabba REMIX (feat. Shabba Ranks, Busta Rhymes & Migos)","A$AP Ferg;Shabba Ranks;Busta Rhymes;Migos",2013-11-22,296613,37,true,skatterbrainz,2025-12-07T21:43:27Z,"rap,dancehall,ragga,reggae,lovers rock,east coast hip hop,trap","A$AP Worldwide/Polo Grounds Music",0.841,0.765,11,-6.099,0,0.225,0.0632,0,0.518,0.341,120.072,4
spotify:track:1WOwGVtrVWtV3WW7X4TZoB,"Public Service Announcement (Interlude)","The Black Album","JAY-Z",2003-11-14,173000,63,true,skatterbrainz,2025-12-07T21:44:17Z,"hip hop,east coast hip hop,rap","Roc Nation / Jay-Z",0.446,0.96,1,-1.144,1,0.619,0.37,0.00000409,0.493,0.443,177.025,4
spotify:track:2gyxAWHebV7xPYVxqoi86f,"get him back!","GUTS","Olivia Rodrigo",2023-09-08,211141,76,true,skatterbrainz,2025-12-07T21:45:27Z,"","Olivia Rodrigo PS",0.553,0.847,5,-5.736,1,0.187,0.0143,0,0.561,0.733,162.024,4
spotify:track:0oigSejhoNen2EdNAIFcm5,"Hollywood Baby","10,000 gecs","100 gecs",2023-03-17,187693,58,true,skatterbrainz,2025-12-07T21:48:21Z,"hyperpop,glitch","Dog Show Records",0.426,0.872,10,-3.322,1,0.115,0.0191,0,0.269,0.608,77.292,4
spotify:track:45hOioMDJktr86iKDHC8gr,"Girlfriend","The Best Damn Thing (Expanded Edition)","Avril Lavigne",2007-04-17,216600,76,true,skatterbrainz,2025-12-07T21:49:07Z,"","RCA Records Label",0.56,0.959,7,-2.433,1,0.102,0.000722,0.000221,0.209,0.669,163.983,4
spotify:track:2LjiPAQOVazT8sRyXL3XRs,"Informer","12 Inches Of Snow","Snow",1993,268910,67,false,skatterbrainz,2025-12-07T21:49:47Z,"","EastWest",0.763,0.742,6,-10.975,0,0.188,0.0984,0,0.38,0.483,98.145,4
spotify:track:1n6pgjMma0nsl4jyMzmjxQ,"Watch Out Now","A Musical Massacre (Explicit)","The Beatnuts",1999-08-10,174800,48,true,skatterbrainz,2025-12-07T21:50:40Z,"east coast hip hop,old school hip hop","LOUD Records",0.783,0.633,11,-6.983,0,0.291,0.0969,0.000994,0.154,0.913,100.428,4
spotify:track:3Gf5nttwcX9aaSQXRWidEZ,"Ride Wit Me","Country Grammar","Nelly;City Spud",2000-06-27,291781,79,true,skatterbrainz,2025-12-07T21:51:42Z,"country hip-hop","Motown",0.85,0.7,7,-6.49,1,0.0478,0.0607,0.00000166,0.244,0.724,101.875,4
spotify:track:17t0Gdztr6gbLHtWmEKs9S,"Ready or Not - DJ Zinc '96 Remix","Ready or Not (DJ Zinc '96 Remix)","DJ Zinc",2023-07-21,432650,35,false,skatterbrainz,2025-12-07T21:54:18Z,"drum and bass,bassline,jungle,uk garage,bass house","Bingo Bass",0.643,0.818,1,-6.603,1,0.0942,0.00204,0.218,0.0686,0.796,169.504,4
spotify:track:5liQj4sVRmEEESvvcb64o8,"Wearing My Rolex - Radio Edit","See Clear Now","Wiley",2008-11-10,170480,56,false,skatterbrainz,2025-12-07T21:54:49Z,"grime,uk grime","Atlantic Records UK",0.876,0.716,1,-6.884,1,0.135,0.0468,0.000482,0.0667,0.755,131.942,4
spotify:track:6DXEZzM4wBa3EOl0NCNSvz,"Did You See","Common Sense","J Hus",2017-05-12,181413,64,true,skatterbrainz,2025-12-07T21:55:27Z,"afroswing,grime,uk grime,afrobeats","Black Butter",0.579,0.579,11,-6.787,0,0.394,0.387,0,0.17,0.842,104.757,4
spotify:track:0m1KYWlT6LhFRBDVq9UNx4,"HYFR (Hell Ya Fucking Right)","Take Care (Deluxe)","Drake;Lil Wayne",2011-11-15,206626,73,true,skatterbrainz,2025-12-07T21:59:36Z,"rap,hip hop","Cash Money Records/Young Money Ent./Universal Rec.",0.444,0.627,7,-8.744,0,0.252,0.123,0,0.0795,0.359,98.21,3
spotify:track:3CA9pLiwRIGtUBiMjbZmRw,"Nice For What","Scorpion","Drake",2018-06-29,210746,78,true,skatterbrainz,2025-12-07T22:00:39Z,"rap","Cash Money/Drake LP6",0.585,0.909,8,-6.474,1,0.0707,0.0891,0.000097,0.119,0.758,93.372,4
spotify:track:3j8EEMm9kbPLqByuaHmUmQ,"Girls Dem Sugar","Art And Life","Beenie Man;Mýa",2000-01-01,257893,57,true,skatterbrainz,2025-12-07T22:02:45Z,"dancehall,ragga,reggae,soca,riddim","Virgin Records",0.603,0.782,2,-4.832,1,0.162,0.118,0,0.363,0.731,124.303,5
spotify:track:35zEswqAFI1D41cmoBXOFK,"Has It Come to This?","Original Pirate Material","The Streets",2002-03-18,245200,59,false,skatterbrainz,2025-12-07T22:03:14Z,"uk garage","679 Recordings UK. Ltd.",0.668,0.854,1,-4.577,0,0.397,0.00436,0,0.314,0.903,130.072,4
spotify:track:6gpZSI0xEMTzleBc5ykOVA,"Heart Of The City (Ain't No Love)","The Blueprint (Explicit Version)","JAY-Z",2001-09-11,223240,64,true,skatterbrainz,2025-12-07T22:06:56Z,"hip hop,east coast hip hop,rap","Roc-A-Fella",0.606,0.943,6,-3.948,1,0.276,0.088,0.0039,0.342,0.802,171.027,4
spotify:track:1A0KS49SPUTb5HpVXOiSbZ,"No Letting Go","No Holding Back","Wayne Wonder",2003-03-04,200733,0,false,skatterbrainz,2025-12-07T22:09:41Z,"dancehall,lovers rock,reggae,ragga","Atlantic Records",0.473,0.832,5,-5.257,0,0.0528,0.0675,0.000151,0.302,0.391,100.157,4
spotify:track:1jqLJBQwo7yBCqYQWukLkq,"Boombastic","Mr Lover Lover - The Best Of Shaggy... (Part 1)","Shaggy",2002-01-01,247173,53,false,skatterbrainz,2025-12-07T22:10:09Z,"reggae","Virgin Records",0.866,0.788,2,-8.188,1,0.278,0.25,0.0000197,0.342,0.752,158.412,4
spotify:track:0INtJm8gCJKtNaAYQNVlpZ,"You Don't Love Me (No, No, No) - Extended Mix","No, No, No","Dawn Penn",1994,277893,73,false,skatterbrainz,2025-12-07T22:11:13Z,"reggae,rocksteady,lovers rock,roots reggae","Rhino Atlantic",0.811,0.428,7,-10.728,1,0.221,0.0122,0.317,0.344,0.653,80.962,4
spotify:track:7H6ev70Weq6DdpZyyTmUXk,"Say My Name","The Writing's On The Wall","Destiny's Child",1999-07-27,271333,79,false,skatterbrainz,2025-12-07T22:12:44Z,"","Columbia",0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,4
spotify:track:4juzduULFJiZVIcrC1tkxE,"Banquet","Silent Alarm","Bloc Party",2005-02-02,201360,69,false,skatterbrainz,2025-12-07T22:17:39Z,"","[PIAS] Recordings Catalogue",0.577,0.937,10,-4.898,0,0.0504,0.00013,0.0138,0.0828,0.889,150.232,4
spotify:track:0WQiDwKJclirSYG9v5tayI,"There Is a Light That Never Goes Out - 2011 Remaster","The Queen Is Dead","The Smiths",1986-06-16,244586,84,false,skatterbrainz,2025-12-07T22:19:01Z,"new wave,madchester,jangle pop","WM UK",0.523,0.769,4,-5.855,1,0.0269,0.04,0,0.136,0.876,136.162,4
